성별,연령별,시점,일반가구원
계,합계,2015,48339559
계,합계,2016,48551348
계,합계,2017,48614907
계,합계,2018,48664922
계,합계,2019,48674177
계,합계,2020,49028727
계,합계,2021,49063531
계,합계,2022,48884646
계,합계,2023,48870498
계,합계,2024,48783236
계,15세미만,2015,6888615
계,15세미만,2016,6753076
계,15세미만,2017,6613883
계,15세미만,2018,6465942
계,15세미만,2019,6296648
계,15세미만,2020,6159722
계,15세미만,2021,5991713
계,15세미만,2022,5761421
계,15세미만,2023,5526647
계,15세미만,2024,5323384
계,15~19세,2015,2835413
계,15~19세,2016,2715405
계,15~19세,2017,2573204
계,15~19세,2018,2410324
계,15~19세,2019,2262120
계,15~19세,2020,2208752
계,15~19세,2021,2090046
계,15~19세,2022,2034726
계,15~19세,2023,2041679
계,15~19세,2024,2053300
계,20~24세,2015,2763722
계,20~24세,2016,2796573
계,20~24세,2017,2750740
계,20~24세,2018,2722228
계,20~24세,2019,2676127
계,20~24세,2020,2790465
계,20~24세,2021,2670599
계,20~24세,2022,2426051
계,20~24세,2023,2306069
계,20~24세,2024,2170949
계,25~29세,2015,2972437
계,25~29세,2016,3020163
계,25~29세,2017,3109124
계,25~29세,2018,3204366
계,25~29세,2019,3284719
계,25~29세,2020,3380057
계,25~29세,2021,3400702
계,25~29세,2022,3340182
계,25~29세,2023,3269300
계,25~29세,2024,3165669
계,30~34세,2015,3570246
계,30~34세,2016,3394882
계,30~34세,2017,3210358
계,30~34세,2018,3076625
계,30~34세,2019,3023482
계,30~34세,2020,3042091
계,30~34세,2021,3091042
계,30~34세,2022,3186443
계,30~34세,2023,3281148
계,30~34세,2024,3352888
계,35~39세,2015,3765009
계,35~39세,2016,3841035
계,35~39세,2017,3898665
계,35~39세,2018,3912833
계,35~39세,2019,3789676
계,35~39세,2020,3603275
계,35~39세,2021,3424210
계,35~39세,2022,3229820
계,35~39세,2023,3099533
계,35~39세,2024,3049503
계,40~44세,2015,4194519
계,40~44세,2016,4016679
계,40~44세,2017,3904060
계,40~44세,2018,3766795
계,40~44세,2019,3698794
계,40~44세,2020,3753646
계,40~44세,2021,3832964
계,40~44세,2022,3890212
계,40~44세,2023,3907718
계,40~44세,2024,3785299
계,45~49세,2015,4242619
계,45~49세,2016,4350652
계,45~49세,2017,4386047
계,45~49세,2018,4346252
계,45~49세,2019,4289786
계,45~49세,2020,4180070
계,45~49세,2021,4002153
계,45~49세,2022,3892193
계,45~49세,2023,3760321
계,45~49세,2024,3694906
계,50~54세,2015,4119181
계,50~54세,2016,4009442
계,50~54세,2017,3981187
계,50~54세,2018,4052597
계,50~54세,2019,4169392
계,50~54세,2020,4223008
계,50~54세,2021,4336146
계,50~54세,2022,4371363
계,50~54세,2023,4336806
계,50~54세,2024,4284455
계,55~59세,2015,3837143
계,55~59세,2016,4051464
계,55~59세,2017,4141719
계,55~59세,2018,4187673
계,55~59세,2019,4140190
계,55~59세,2020,4064377
계,55~59세,2021,3958355
계,55~59세,2022,3942578
계,55~59세,2023,4021368
계,55~59세,2024,4147758
계,60~64세,2015,2741704
계,60~64세,2016,2993155
계,60~64세,2017,3156104
계,60~64세,2018,3379781
계,60~64세,2019,3578478
계,60~64세,2020,3764489
계,60~64세,2021,3988108
계,60~64세,2022,4067484
계,60~64세,2023,4130986
계,60~64세,2024,4088625
계,65~69세,2015,2103674
계,65~69세,2016,2167736
계,65~69세,2017,2266611
계,65~69세,2018,2318804
계,65~69세,2019,2430488
계,65~69세,2020,2660010
계,65~69세,2021,2902348
계,65~69세,2022,3066136
계,65~69세,2023,3285735
계,65~69세,2024,3492058
계,70~74세,2015,1742546
계,70~74세,2016,1719775
계,70~74세,2017,1726140
계,70~74세,2018,1796606
계,70~74세,2019,1888139
계,70~74세,2020,1980075
계,70~74세,2021,2042154
계,70~74세,2022,2145118
계,70~74세,2023,2202791
계,70~74세,2024,2313594
계,75~79세,2015,1327847
계,75~79세,2016,1389176
계,75~79세,2017,1498779
계,75~79세,2018,1536930
계,75~79세,2019,1544916
계,75~79세,2020,1540870
계,75~79세,2021,1529990
계,75~79세,2022,1551840
계,75~79세,2023,1624330
계,75~79세,2024,1713222
계,80~84세,2015,773354
계,80~84세,2016,839158
계,80~84세,2017,883675
계,80~84세,2018,938037
계,80~84세,2019,1001174
계,80~84세,2020,1032047
계,80~84세,2021,1092367
계,80~84세,2022,1201647
계,80~84세,2023,1240617
계,80~84세,2024,1250747
계,85세이상,2015,461530
계,85세이상,2016,492977
계,85세이상,2017,514611
계,85세이상,2018,549129
계,85세이상,2019,600048
계,85세이상,2020,645773
계,85세이상,2021,710634
계,85세이상,2022,777432
계,85세이상,2023,835450
계,85세이상,2024,896879
